from_id,to_id,y_0,y_1,x_0,x_1,z_0,z_1
61,62,4867459.0454700235,4867463.329086882,558439.5702424212,558438.1069376805,393.2585649518149,393.2350088342156
62,63,4867463.329086882,4867464.69917939,558438.1069376805,558437.6870131495,393.2350088342156,393.22578046100335
63,64,4867464.69917939,4867469.5701505635,558437.6870131495,558436.1065350998,393.22578046100335,393.20050107383884
64,65,4867469.5701505635,4867473.880518644,558436.1065350998,558434.7078485575,393.20050107383884,393.1757411331647
65,66,4867473.880518644,4867478.564477717,558434.7078485575,558433.1514017711,393.1757411331647,393.1529814569373
66,67,4867478.564477717,4867484.628318187,558433.1514017711,558431.111627108,393.1529814569373,393.11717558622354
67,68,4867484.628318187,4867488.939223911,558431.111627108,558429.7278202251,393.11717558622354,393.0949339195776
68,69,4867488.939223911,4867493.641640785,558429.7278202251,558428.192718849,393.0949339195776,393.0726662270192
69,70,4867493.641640785,4867499.208381341,558428.192718849,558426.2689939109,393.0726662270192,393.04279231024975
70,71,4867499.208381341,4867503.938441099,558426.2689939109,558424.7186086753,393.04279231024975,393.0197569812875
71,72,4867503.938441099,4867508.643011606,558424.7186086753,558423.1829892872,393.0197569812875,392.99427215614884
72,73,4867508.643011606,4867514.245828578,558423.1829892872,558421.3695123408,392.99427215614884,392.9650933492119
73,74,4867514.245828578,4867518.951644023,558421.3695123408,558419.7485417873,392.9650933492119,392.9445953385035
74,75,4867518.951644023,4867523.658179797,558419.7485417873,558418.218565303,392.9445953385035,392.9199773561949
75,76,4867523.658179797,4867529.261382386,558418.218565303,558416.4129324215,392.9199773561949,392.8919391869135
76,77,4867529.261382386,4867533.983633548,558416.4129324215,558414.8325298713,392.8919391869135,392.86944403238175
77,78,4867533.983633548,4867538.676580976,558414.8325298713,558413.2652135042,392.86944403238175,392.8480580333848
78,79,4867538.676580976,4867544.279895528,558413.2652135042,558411.4648007334,392.8480580333848,392.8210401301465
79,80,4867544.279895528,4867549.007979808,558411.4648007334,558409.8926094978,392.8210401301465,392.7986231126904
80,81,4867549.007979808,4867553.70693155,558409.8926094978,558408.3393187919,392.7986231126904,392.77446064289626
81,82,4867553.70693155,4867559.297489351,558408.3393187919,558406.5126931925,392.77446064289626,392.75117860867635
82,83,4867559.297489351,4867564.170877812,558406.5126931925,558404.8993149726,392.75117860867635,392.7283013744365
83,84,4867564.170877812,4867568.99597627,558404.8993149726,558403.2976622417,392.7283013744365,392.70395600018816
84,85,4867568.99597627,4867574.421198616,558403.2976622417,558401.5765516892,392.70395600018816,392.68135986360215
85,86,4867574.421198616,4867579.192269396,558401.5765516892,558399.9576175212,392.68135986360215,392.6614675148028
86,87,4867579.192269396,4867584.180715958,558399.9576175212,558398.3666861972,392.6614675148028,392.63951659071154
87,88,4867584.180715958,4867589.4340077685,558398.3666861972,558396.6022363331,392.63951659071154,392.61382520692496
88,89,4867589.4340077685,4867594.205288661,558396.6022363331,558394.9875903956,392.61382520692496,392.5958187424396
89,90,4867594.205288661,4867598.515587169,558394.9875903956,558393.5860775495,392.5958187424396,392.57630619182805
90,91,4867598.515587169,4867599.794000768,558393.5860775495,558393.178323571,392.57630619182805,392.57137471174076
91,92,4867599.794000768,4867604.541197387,558393.178323571,558391.6067132538,392.57137471174076,392.54908357540137
92,93,4867604.541197387,4867609.239851511,558391.6067132538,558390.0788668066,392.54908357540137,392.53023857140624
93,94,4867609.239851511,4867614.217705047,558390.0788668066,558388.4600885921,392.53023857140624,392.51237488891553
94,95,4867614.217705047,4867618.073406364,558388.4600885921,558387.1155318433,392.51237488891553,392.4940985093807
95,96,4867618.073406364,4867619.468227372,558387.1155318433,558386.6915159039,392.4940985093807,392.4877957420838
96,97,4867619.468227372,4867624.257454528,558386.6915159039,558385.1340254637,392.4877957420838,392.46885788803417
97,98,4867624.257454528,4867628.565220972,558385.1340254637,558383.719841146,392.46885788803417,392.44978649515656
98,99,4867628.565220972,4867629.808134753,558383.719841146,558383.2627303514,392.44978649515656,392.44446907774164
99,100,4867629.808134753,4867634.5700841155,558383.2627303514,558381.6824066887,392.44446907774164,392.42469171912694
100,101,4867634.5700841155,4867639.262207435,558381.6824066887,558380.1359616767,392.42469171912694,392.4060945635441
101,102,4867639.262207435,4867643.57951023,558380.1359616767,558378.755453258,392.4060945635441,392.38920786445044
102,103,4867643.57951023,4867644.84507144,558378.755453258,558378.3224870005,392.38920786445044,392.386050303471
103,104,4867644.84507144,4867649.587964418,558378.3224870005,558376.7322070504,392.386050303471,392.3663138635086
104,105,4867649.587964418,4867654.279360462,558376.7322070504,558375.1818678167,392.3663138635086,392.348095641319
105,106,4867654.279360462,4867658.597833411,558375.1818678167,558373.804351856,392.348095641319,392.3318488815635
106,107,4867658.597833411,4867659.952781862,558373.804351856,558373.3756575197,392.3318488815635,392.32689862411473
107,108,4867659.952781862,4867664.673045159,558373.3756575197,558371.7681590116,392.32689862411473,392.3090411828125
108,109,4867664.673045159,4867669.299516075,558371.7681590116,558370.2372978952,392.3090411828125,392.2914399119457
109,110,4867669.299516075,4867673.525843595,558370.2372978952,558368.8805765804,392.2914399119457,392.2764980477599
110,111,4867673.525843595,4867675.436805941,558368.8805765804,558368.2747284247,392.2764980477599,392.2691146168372
111,112,4867675.436805941,4867679.546367665,558368.2747284247,558366.8750283368,392.2691146168372,392.25436467047865
112,113,4867679.546367665,4867684.241671935,558366.8750283368,558365.2872339456,392.25436467047865,392.23663978554805
113,114,4867684.241671935,4867688.95663888,558365.2872339456,558363.7591758036,392.23663978554805,392.2187882630788
114,115,4867688.95663888,4867690.33212748,558363.7591758036,558363.3241184795,392.2187882630788,392.2139969747418
115,116,4867690.33212748,4867694.361928947,558363.3241184795,558361.9580424991,392.2139969747418,392.1964167490954
116,117,4867694.361928947,4867699.132722551,558361.9580424991,558360.3606907766,392.1964167490954,392.1818553700599
117,118,4867699.132722551,4867703.832741108,558360.3606907766,558358.8365115548,392.1818553700599,392.1646598772429
118,119,4867703.832741108,4867705.273060317,558358.8365115548,558358.3851115947,392.1646598772429,392.1606835258367
119,120,4867705.273060317,4867708.85448149,558358.3851115947,558357.2026076919,392.1606835258367,392.14637246218
120,121,4867708.85448149,4867714.049280513,558357.2026076919,558355.4001363519,392.14637246218,392.1306530226417
121,122,4867714.049280513,4867718.748182926,558355.4001363519,558353.8976169676,392.1306530226417,392.1131568196889
122,123,4867718.748182926,4867720.149709572,558353.8976169676,558353.4646496929,392.1131568196889,392.1091201440193
123,124,4867720.149709572,4867724.784680901,558353.4646496929,558351.9005416256,392.1091201440193,392.0905066417878
124,125,4867724.784680901,4867729.418395909,558351.9005416256,558350.3368226876,392.0905066417878,392.0779558302284
125,126,4867729.418395909,4867733.658191724,558350.3368226876,558348.9617915001,392.0779558302284,392.0629355473251
126,127,4867733.658191724,4867735.782053701,558348.9617915001,558348.2805462372,392.0629355473251,392.05697571797924
127,128,4867735.782053701,4867739.791962954,558348.2805462372,558346.9117197684,392.05697571797924,392.0399710898038
128,129,4867739.791962954,4867744.436494482,558346.9117197684,558345.3789730369,392.0399710898038,392.02485697498116
129,130,4867744.436494482,4867748.656892709,558345.3789730369,558343.9556676205,392.02485697498116,392.011490489212
130,131,4867748.656892709,4867750.727622526,558343.9556676205,558343.3169564102,392.011490489212,392.00649228332645
131,132,4867750.727622526,4867754.597640972,558343.3169564102,558341.9932898923,392.00649228332645,391.9905872698436
132,133,4867754.597640972,4867759.310004028,558341.9932898923,558340.439637783,391.9905872698436,391.97601411314685
133,134,4867759.310004028,4867763.9974212255,558340.439637783,558338.8533593904,391.97601411314685,391.96209288748184
134,135,4867763.9974212255,4867765.30880252,558338.8533593904,558338.4455277774,391.96209288748184,391.95865755729227
135,136,4867765.30880252,4867768.893300986,558338.4455277774,558337.2996051176,391.95865755729227,391.94718481780797
136,137,4867768.893300986,4867774.246370124,558337.2996051176,558335.4768887942,391.94718481780797,391.928786502065
137,138,4867774.246370124,4867778.932856205,558335.4768887942,558333.8942573874,391.928786502065,391.91551053652915
138,139,4867778.932856205,4867780.316279057,558333.8942573874,558333.4610116073,391.91551053652915,391.9118969831344
139,140,4867780.316279057,4867783.900151411,558333.4610116073,558332.3165065254,391.9118969831344,391.90079400385804
140,141,4867783.900151411,4867789.263429673,558332.3165065254,558330.5271958157,391.90079400385804,391.8808867855478
141,142,4867789.263429673,4867794.032677054,558330.5271958157,558328.9416185434,391.8808867855478,391.8678782891147
142,143,4867794.032677054,4867796.759876606,558328.9416185434,558328.097970017,391.8678782891147,391.8621409555273
143,144,4867796.759876606,4867798.911451723,558328.097970017,558327.3482211335,391.8621409555273,391.8553441215509
144,145,4867798.911451723,4867804.220391056,558327.3482211335,558325.579223524,391.8553441215509,391.83567443539397
145,146,4867804.220391056,4867808.914900786,558325.579223524,558324.040417887,391.83567443539397,391.8221146262164
146,147,4867808.914900786,4867811.699958369,558324.040417887,558323.2065095735,391.8221146262164,391.814913687178
147,148,4867811.699958369,4867813.801408993,558323.2065095735,558322.4464655527,391.814913687178,391.8098330282046
148,149,4867813.801408993,4867819.297058255,558322.4464655527,558320.6099482484,391.8098330282046,391.79061921945254
149,150,4867819.297058255,4867824.068772085,558320.6099482484,558319.0459753958,391.79061921945254,391.77709767843004
150,151,4867824.068772085,4867826.790671074,558319.0459753958,558318.1706956957,391.77709767843004,391.7686469829049
151,152,4867826.790671074,4867828.926194865,558318.1706956957,558317.397642352,391.7686469829049,391.76337074427374
152,153,4867828.926194865,4867834.292668308,558317.397642352,558315.5927917828,391.76337074427374,391.7454082693097
153,154,4867834.292668308,4867839.07290911,558315.5927917828,558314.0549918325,391.7454082693097,391.73321779478334
154,155,4867839.07290911,4867841.795898237,558314.0549918325,558313.1799955288,391.73321779478334,391.7251224547886
155,156,4867841.795898237,4867843.92917142,558313.1799955288,558312.4031045019,391.7251224547886,391.7201214462525
156,157,4867843.92917142,4867849.29740713,558312.4031045019,558310.6002634336,391.7201214462525,391.70272990223754
157,158,4867849.29740713,4867854.077905484,558310.6002634336,558309.0659079538,391.70272990223754,391.69104835792467
158,159,4867854.077905484,4867856.801270589,558309.0659079538,558308.190675627,391.69104835792467,391.68322900890087
159,160,4867856.801270589,4867858.955530534,558308.190675627,558307.4712862021,391.68322900890087,391.6767248664786
160,161,4867858.955530534,4867864.243836183,558307.4712862021,558305.6482200177,391.6767248664786,391.6608643267107
161,162,4867864.243836183,4867868.960714362,558305.6482200177,558304.1656835558,391.6608643267107,391.6481301781863
162,163,4867868.960714362,4867871.719992662,558304.1656835558,558303.2462958558,391.6481301781863,391.6424770611052
163,164,4867871.719992662,4867873.974153493,558303.2462958558,558302.5300340527,391.6424770611052,391.63180286635117
164,165,4867873.974153493,4867879.262105788,558302.5300340527,558300.7023948428,391.63180286635117,391.61815563056086
165,166,4867879.262105788,4867883.976896754,558300.7023948428,558299.2114637734,391.61815563056086,391.60645172351593
166,167,4867883.976896754,4867886.737294419,558299.2114637734,558298.2922833859,391.60645172351593,391.6009716019522
167,168,4867886.737294419,4867888.990969891,558298.2922833859,558297.5647007573,391.6009716019522,391.5909624694096
168,169,4867888.990969891,4867894.221377139,558297.5647007573,558295.7562330886,391.5909624694096,391.5784370925125
169,170,4867894.221377139,4867898.849184008,558295.7562330886,558294.2892042223,391.5784370925125,391.56746280355935
170,171,4867898.849184008,4867901.574821633,558294.2892042223,558293.3940407819,391.56746280355935,391.5616905935847
171,172,4867901.574821633,4867903.609889622,558293.3940407819,558292.7154446281,391.5616905935847,391.5556320399562
172,173,4867903.609889622,4867908.520775117,558292.7154446281,558291.0206917184,391.5556320399562,391.54117053630233
173,174,4867908.520775117,4867913.665791129,558291.0206917184,558289.385104473,391.54117053630233,391.5295630827026
174,175,4867913.665791129,4867917.0164003465,558289.385104473,558288.264240604,391.5295630827026,391.5225702493622
175,176,4867917.0164003465,4867919.729050089,558288.264240604,558287.3445143924,391.5225702493622,391.5105491187758
176,177,4867919.729050089,4867924.360157833,558287.3445143924,558285.7613047,391.5105491187758,391.5020721333787
177,178,4867924.360157833,4867929.064578447,558285.7613047,558284.2140708163,391.5020721333787,391.4901463484498
178,179,4867929.064578447,4867931.8559443075,558284.2140708163,558283.3148159127,391.4901463484498,391.4842713495124
179,180,4867931.8559443075,4867934.019947658,558283.3148159127,558282.5899792172,391.4842713495124,391.4759293454343
180,181,4867934.019947658,4867939.239055873,558282.5899792172,558280.9142200084,391.4759293454343,391.46030286908695
181,182,4867939.239055873,4867943.864397481,558280.9142200084,558279.3228784319,391.46030286908695,391.45086127531215
182,183,4867943.864397481,4867946.592208929,558279.3228784319,558278.4476975536,391.45086127531215,391.44601903154694
183,184,4867946.592208929,4867948.512466373,558278.4476975536,558277.8123775455,391.44601903154694,391.4385056055403
184,185,4867948.512466373,4867953.573195893,558277.8123775455,558276.1681746551,391.4385056055403,391.42397803811116
185,186,4867953.573195893,4867958.649152452,558276.1681746551,558274.4241655205,391.42397803811116,391.41420754927464
186,187,4867958.649152452,4867962.013491693,558274.4241655205,558273.3328639214,391.41420754927464,391.40767675753006
187,188,4867962.013491693,4867964.73431904,558273.3328639214,558272.3836151877,391.40767675753006,391.3977756938194
188,189,4867964.73431904,4867969.414738955,558272.3836151877,558270.9057971444,391.3977756938194,391.3864633987262
189,190,4867969.414738955,4867974.155268257,558270.9057971444,558269.267186157,391.3864633987262,391.3776420441496
190,191,4867974.155268257,4867976.889065662,558269.267186157,558268.394043663,391.3776420441496,391.3727743912151
191,192,4867976.889065662,4867979.047358428,558268.394043663,558267.6552760644,391.3727743912151,391.3653722669046
192,193,4867979.047358428,4867984.217639038,558267.6552760644,558265.9948655401,391.3653722669046,391.35221019985374
193,194,4867984.217639038,4867988.899752715,558265.9948655401,558264.4168230235,391.35221019985374,391.3403248102609
194,195,4867988.899752715,4867992.375733563,558264.4168230235,558263.2904396675,391.3403248102609,391.33399395598474
195,196,4867992.375733563,4867993.664200574,558263.2904396675,558262.8465243101,391.33399395598474,391.3301353296241
196,197,4867993.664200574,4867998.618505549,558262.8465243101,558261.2351760168,391.3301353296241,391.3177167833461
197,198,4867998.618505549,4868003.655388205,558261.2351760168,558259.5324382626,391.3177167833461,391.30614692998137
198,199,4868003.655388205,4868007.052088039,558259.5324382626,558258.4277169337,391.30614692998137,391.3005024426177
199,200,4868007.052088039,4868009.74649581,558258.4277169337,558257.4777229646,391.3005024426177,391.29198513166193
200,201,4868009.74649581,4868014.446051246,558257.4777229646,558255.9817886784,391.29198513166193,391.2825825901542
201,202,4868014.446051246,4868019.18966363,558255.9817886784,558254.3514637405,391.2825825901542,391.2709628101202
202,203,4868019.18966363,4868021.908833565,558254.3514637405,558253.44017557,391.2709628101202,391.2641046192603
203,204,4868021.908833565,4868024.070060628,558253.44017557,558252.7106664786,391.2641046192603,391.25933561774593
204,205,4868024.070060628,4868029.213917217,558252.7106664786,558251.068399403,391.25933561774593,391.2495482265398
205,206,4868029.213917217,4868033.942280565,558251.068399403,558249.5246512458,391.2495482265398,391.2382238863302
206,207,4868033.942280565,4868037.150197275,558249.5246512458,558248.4044730859,391.2382238863302,391.229445650686
207,208,4868037.150197275,4868038.571229728,558248.4044730859,558247.9559086782,391.229445650686,391.22369101765236
208,209,4868038.571229728,4868043.648666615,558247.9559086782,558246.3149782644,391.22369101765236,391.2154376101719
209,210,4868043.648666615,4868048.796659101,558246.3149782644,558244.6265905323,391.2154376101719,391.2044655011747
210,211,4868048.796659101,4868052.069987583,558244.6265905323,558243.4680342134,391.2044655011747,391.19641190397044
211,212,4868052.069987583,4868054.765547771,558243.4680342134,558242.5831319594,391.19641190397044,391.1891960563245
212,213,4868054.765547771,4868059.6125842305,558242.5831319594,558241.0249863679,391.1891960563245,391.1810888000971
213,214,4868059.6125842305,4868063.672343529,558241.0249863679,558239.6959136567,391.1810888000971,391.172726096027
214,215,4868063.672343529,4868067.080659834,558239.6959136567,558238.4928108436,391.172726096027,391.16481008183325
215,216,4868067.080659834,4868069.764574559,558238.4928108436,558237.6087792403,391.16481008183325,391.15793910780815
216,217,4868069.764574559,4868074.604048374,558237.6087792403,558236.0509714695,391.15793910780815,391.15054238695217
217,218,4868074.604048374,4868079.246604559,558236.0509714695,558234.5055422066,391.15054238695217,391.14022976955874
218,219,4868079.246604559,4868083.274189333,558234.5055422066,558233.1419177608,391.14022976955874,391.13017277593207
219,220,4868083.274189333,4868084.1206630645,558233.1419177608,558232.8449459219,391.13017277593207,391.12883785982893
220,221,4868084.1206630645,4868089.233405847,558232.8449459219,558231.2395711842,391.12883785982893,391.1175636226505
221,222,4868089.233405847,4868093.993395889,558231.2395711842,558229.6566069121,391.1175636226505,391.1092320541721
222,223,4868093.993395889,4868098.619785738,558229.6566069121,558228.0592049636,391.1092320541721,391.09814653558675
223,224,4868098.619785738,4868104.789776612,558228.0592049636,558226.0599237619,391.09814653558675,391.0852523174212
224,225,4868104.789776612,4868108.921746917,558226.0599237619,558224.6566590741,391.0852523174212,391.07524526361414
225,226,4868108.921746917,4868113.470001438,558224.6566590741,558223.1194835121,391.07524526361414,391.0681348939589
226,227,4868113.470001438,4868114.759391423,558223.1194835121,558222.6787142057,391.0681348939589,391.066224487398
227,228,4868114.759391423,4868119.585461348,558222.6787142057,558221.0842208053,391.066224487398,391.05485007088294
228,229,4868119.585461348,4868124.26224371,558221.0842208053,558219.5446786465,391.05485007088294,391.04117886407
229,230,4868124.26224371,4868128.198028657,558219.5446786465,558218.2217194882,391.04117886407,391.036089389326
230,231,4868128.198028657,4868129.140741477,558218.2217194882,558217.8931875495,391.036089389326,391.0346953657575
231,232,4868129.140741477,4868134.506390293,558217.8931875495,558216.1172392578,391.0346953657575,391.0245181313409
232,233,4868134.506390293,4868139.26132651,558216.1172392578,558214.5400291327,391.0245181313409,391.0111842509186
233,234,4868139.26132651,4868143.195195888,558214.5400291327,558213.218541495,391.0111842509186,391.00644393987443
234,235,4868143.195195888,4868144.140795269,558213.218541495,558212.8889654225,391.00644393987443,391.0050970692972
235,236,4868144.140795269,4868149.505653772,558212.8889654225,558211.110654353,391.0050970692972,390.99542721963013
236,237,4868149.505653772,4868154.259758109,558211.110654353,558209.5339852938,390.99542721963013,390.98280182998093
237,238,4868154.259758109,4868158.203519024,558209.5339852938,558208.2500916348,390.98280182998093,390.97431534928256
238,239,4868158.203519024,4868159.152976745,558208.2500916348,558207.9191862121,390.97431534928256,390.9729983122353
239,240,4868159.152976745,4868164.498308967,558207.9191862121,558206.079852864,390.9729983122353,390.9606508685152
240,241,4868164.498308967,4868169.259933978,558206.079852864,558204.5331108563,390.9606508685152,390.9522332345057
241,242,4868169.259933978,4868173.199045859,558204.5331108563,558203.2422814654,390.9522332345057,390.9447136388629
242,243,4868173.199045859,4868174.15102842,558203.2422814654,558202.9103595831,390.9447136388629,390.94344384613197
243,244,4868174.15102842,4868179.498056089,558202.9103595831,558201.0763092121,390.94344384613197,390.9320448743296
244,245,4868179.498056089,4868184.262302647,558201.0763092121,558199.5390465632,390.9320448743296,390.9228454737801
245,246,4868184.262302647,4868188.194010639,558199.5390465632,558198.2341690877,390.9228454737801,390.9170843839896
246,247,4868188.194010639,4868189.148768832,558198.2341690877,558197.9011402876,390.9170843839896,390.9158532328087
247,248,4868189.148768832,4868194.5101021435,558197.9011402876,558196.1039680437,390.9158532328087,390.9009111352305
248,249,4868194.5101021435,4868199.267794693,558196.1039680437,558194.55354574,390.9009111352305,390.89337738822684
249,250,4868199.267794693,4868203.195368391,558194.55354574,558193.2431007829,390.89337738822684,390.88840477038104
250,251,4868203.195368391,4868204.152515105,558193.2431007829,558192.9091104469,390.88840477038104,390.8872222982737
251,252,4868204.152515105,4868209.511577533,558192.9091104469,558191.1062453466,390.8872222982737,390.87351529641535
252,253,4868209.511577533,4868214.267745427,558191.1062453466,558189.5534701635,390.87351529641535,390.8664246845806
253,254,4868214.267745427,4868218.174837246,558189.5534701635,558188.1946513326,390.8664246845806,390.8576784593301
254,255,4868218.174837246,4868219.142367744,558188.1946513326,558187.8771759782,390.8576784593301,390.8544797183775
255,256,4868219.142367744,4868224.506544742,558187.8771759782,558186.089470027,390.8544797183775,390.84650395201754
256,257,4868224.506544742,4868229.272331806,558186.089470027,558184.5660686799,390.84650395201754,390.8359425053326
257,258,4868229.272331806,4868233.177352378,558184.5660686799,558183.2074411554,390.8359425053326,390.8286791451964
258,259,4868233.177352378,4868234.131458072,558183.2074411554,558182.8890683505,390.8286791451964,390.82608085184324
259,260,4868234.131458072,4868239.516633289,558182.8890683505,558181.086966153,390.82608085184324,390.81879909287505
260,261,4868239.516633289,4868244.269198927,558181.086966153,558179.5599970701,390.81879909287505,390.8078554490847
261,262,4868244.269198927,4868248.173532039,558179.5599970701,558178.2048338967,390.8078554490847,390.80252193431204
262,263,4868248.173532039,4868249.117028405,558178.2048338967,558177.8880612634,390.80252193431204,390.79998905638973
263,264,4868249.117028405,4868254.528813503,558177.8880612634,558176.1141008283,390.79998905638973,390.78897554051144
264,265,4868254.528813503,4868259.268386748,558176.1141008283,558174.5598049103,390.78897554051144,390.78152407668824
265,266,4868259.268386748,4868263.179755534,558174.5598049103,558173.2285307873,390.78152407668824,390.7736048418095
266,267,4868263.179755534,4868264.111848367,558173.2285307873,558172.9098803008,390.7736048418095,390.77179112992803
267,268,4868264.111848367,4868269.530569249,558172.9098803008,558171.117462003,390.77179112992803,390.76259673377905
268,269,4868269.530569249,4868274.252446315,558171.117462003,558169.5163738097,390.76259673377905,390.7514348978853
